environment_name,mode,level,zeta,noise_std,gust_std,mean_true_iae,std_true_iae,p10_true_iae,median_true_iae,p90_true_iae,ci_true_iae_low,ci_true_iae_high,mean_true_ise,mean_peak_abs_error,mean_abs_error,mean_excess_true_iae_over_clean,mean_shadow_mass_l2_trial,mean_occupancy_proxy_l2,mean_observed_iae,stability_rate,valid_trial_count,bootstrap_best_frequency
measurement_light,measurement,light,1.0,3.0,0.25,723.5963459836456,17.279465624983107,698.9563859912479,723.4789322163601,746.169113907343,721.2905106936275,726.0985878509712,3253.345848865467,7.263644426006013,4.018880425500728,1.1235943627226697,0.24951370819409316,2.2612179805089694,899.0857183468236,1.0,200,0.0
measurement_moderate,measurement,moderate,0.15,6.0,0.5,713.0723213085334,31.06744861767951,676.0692686883758,712.4662624773714,753.2917890847116,708.9257445056213,717.2370345686058,3123.385586476886,7.35477388980226,3.9607578975315816,-2.5116171143855492,0.38194938643895,13.84566525841194,892.9287619601283,1.0,200,0.0
measurement_moderate,measurement,moderate,0.2,6.0,0.5,651.6211624302059,29.678818661248854,612.9422253146896,651.1311886433671,691.5730153565878,647.7890384931627,655.6393389200991,2880.81959365257,7.979361782890071,3.619139127797681,0.3785745067990257,0.275197447628839,9.975907476545414,836.145618701055,1.0,200,1.0
measurement_moderate,measurement,moderate,0.25,6.0,0.5,1030.9523082353378,38.643147748110664,984.8586741881882,1030.3196581548048,1080.3435865988388,1025.8017577032488,1036.1209152033975,6704.836718866589,10.773932160190203,5.726018639149154,-2.5306768155148887,0.22711823633960834,8.2330360673108,1209.4925178489532,1.0,200,0.0
measurement_moderate,measurement,moderate,0.35,6.0,0.5,1073.104973530354,39.62880171464188,1026.5395783245758,1072.0011358080842,1122.948568880948,1067.8892932048475,1078.4458541668494,7228.138098211385,11.066793629023755,5.960145760027497,-2.642055596279032,0.21811168740743142,7.90654866851939,1251.3476120438622,1.0,200,0.0
measurement_moderate,measurement,moderate,0.5,6.0,0.5,858.456848490104,34.664206178888584,816.1220769147907,857.7522863131851,902.8192517384906,853.9399690390007,863.0396713230565,4753.3949559117955,9.431142740311463,4.767940300292901,-1.958331640842096,0.21705690126600558,7.868312670892704,1038.7267877974036,1.0,200,0.0
measurement_moderate,measurement,moderate,0.707,6.0,0.5,832.6789983478136,34.059953264437894,791.3533405746476,832.2300649212303,876.4613693089361,828.2289542021819,837.19713720448,4493.239589161569,9.24485945969701,4.624764729332549,-1.8089512603555329,0.22162152290088322,8.033780205157019,1013.3283898515307,1.0,200,0.0
measurement_moderate,measurement,moderate,1.0,6.0,0.5,721.6507432270258,31.413656367543442,681.6646351981966,720.5182718680992,762.7960238889491,717.5538252895223,725.8549014678529,3459.029673186464,8.46574046498299,4.00809422435794,-0.8220083938971067,0.24980276375363544,9.055350186069285,904.3680257468114,1.0,200,0.0
measurement_heavy,measurement,heavy,0.15,12.0,1.0,736.8004761242404,66.24465647829551,658.2759200039673,729.9867971283547,818.929088496064,727.5447169713809,745.9487879107758,4003.04243363351,10.810844250614984,4.092557955653395,21.21653770132139,0.3840246801835208,55.68357862661051,988.0522824627653,1.0,200,0.0
measurement_heavy,measurement,heavy,0.2,12.0,1.0,699.8740516626635,60.48469439947694,631.6133652474807,697.3682465840684,775.7984391120358,691.4735685733544,708.3764944648295,3838.2819376947964,11.015245281262645,3.88722931296865,48.63146373925679,0.27694287715463217,40.15671718742167,960.8807734565977,1.0,200,1.0
measurement_heavy,measurement,heavy,0.25,12.0,1.0,1050.377133239371,83.19255106301486,947.6075705881568,1040.8253992891184,1157.8959011368445,1038.870954738447,1062.026527504918,7924.17382076919,13.984510536098938,5.83398587149566,16.894148188518535,0.23065010721552007,33.444265546250406,1274.707291272443,1.0,200,0.0
measurement_heavy,measurement,heavy,0.35,12.0,1.0,1090.5160518745686,85.71540431192216,984.6670587151762,1081.7426775093581,1201.4411733536401,1078.7527735413357,1102.4959262381108,8473.026270998795,14.295020323486936,6.05692482130296,14.769022747935423,0.22131586296002476,32.090800129203586,1311.6497359872028,1.0,200,0.0
measurement_heavy,measurement,heavy,0.5,12.0,1.0,885.2271727141687,73.46929394491866,798.1147134720071,876.8092245499402,977.3508706852175,874.9830843004642,895.4835591460763,5803.485454234202,12.486688074949019,4.91670501260377,24.811992583222718,0.2179166819007634,31.597918875610695,1124.3934171677017,1.0,200,0.0
measurement_heavy,measurement,heavy,0.707,12.0,1.0,861.339517126624,71.90240360758357,777.9693785174447,852.7875022772596,951.7437059372262,851.3960923379658,871.3692616402604,5528.201417570028,12.294323484768311,4.784028928721239,26.85156751845492,0.22249332403125124,32.26153198453142,1103.040998753263,1.0,200,0.0
measurement_heavy,measurement,heavy,1.0,12.0,1.0,760.4151953634795,65.10285179814348,685.5753585098196,756.0328089344086,839.8148202689046,751.2755703825947,769.3770340350546,4435.998068394573,11.505595470946075,4.22347864790152,37.94244374255631,0.2508905685256616,36.379132436220935,1013.790956785223,1.0,200,0.0
measurement_extreme,measurement,extreme,0.15,18.0,1.5,819.172243598503,76.9658357826386,724.6977608797022,817.7937567705586,914.4582426849588,808.6146436187606,829.9390406604684,5459.309806302086,14.163284487347523,4.550063024987326,103.58830517558403,0.38333679470874904,125.06362927372939,1183.264046771805,1.0,200,0.0
measurement_extreme,measurement,extreme,0.2,18.0,1.5,806.2419546511612,74.5940649114816,715.9703023865061,801.096719306456,895.9530775925556,796.0203969271159,817.3068241078096,5432.015491235769,14.329372224900835,4.478098567505587,154.9993667277542,0.2766785248357147,90.26636872765194,1173.2425118521119,1.0,200,1.0
measurement_extreme,measurement,extreme,0.25,18.0,1.5,1126.2928125887597,104.25393112177333,1000.906693756685,1122.3114708019561,1255.2918393386096,1111.8527062901917,1141.1707815364573,9967.00861356587,17.435907049832913,6.255685289950341,92.80982753790698,0.23060483050830768,75.23482595333539,1439.7694937054032,1.0,200,0.0
measurement_extreme,measurement,extreme,0.35,18.0,1.5,1163.2364441657016,107.66189385216515,1031.4337061322822,1159.0567499296417,1298.0269875012593,1148.3108294457445,1178.6078245642925,10560.659096546271,17.729182015763335,6.460870867749962,87.48941503906865,0.2212796445027842,72.19248401903333,1471.549444760889,1.0,200,0.0
measurement_extreme,measurement,extreme,0.5,18.0,1.5,969.8683454411471,90.36572460347577,865.3845887747319,965.1479187670018,1080.4629807495812,957.545954537968,983.0516668662193,7565.610638108158,15.782370653060633,5.386881174686944,109.453165310201,0.21761192041396335,70.99588903505555,1307.4061094156514,1.0,200,0.0
measurement_extreme,measurement,extreme,0.707,18.0,1.5,948.2198121101648,88.30846762309491,846.3418934887665,943.135748274122,1055.263961840483,936.2943020894936,961.0317971390476,7263.710412758522,15.581175811897252,5.266643968455337,113.73186250199578,0.22217566519375587,72.48481076946285,1289.4531273295017,1.0,200,0.0
measurement_extreme,measurement,extreme,1.0,18.0,1.5,858.0557912889676,79.57757841884221,766.2567452483077,852.545978414903,954.5143122643744,847.099101599018,869.9688194552592,6068.777659724669,14.788861931582856,4.765867180435278,135.58303966804462,0.25049897237360663,81.72528973688917,1215.4451471731873,1.0,200,0.0
